temperature,pressure,humidity,gas,aqi,time_stamp_esp,time_stamp_server
19.31,1011,67.7,37,785,111.74,2026-01-26T17:55:10.173176302Z
19.32,1011,67.61,37,789,112.14,2026-01-26T17:55:14.743570162Z
19.31,1011,67.63,37,796,111.35,2026-01-26T17:55:21.236856478Z
19.31,1011,67.7,37,803,114.14,2026-01-26T17:55:27.780118595Z
19.29,1011,67.9,35,821,114.14,2026-01-26T17:55:45.781096803Z
19.29,1011,67.85,36,825,113.73,2026-01-26T17:55:53.140834055Z
19.28,1011,67.87,36,832,112.54,2026-01-26T17:55:54.88365216Z
19.31,1011,67.79,38,834,114.54,2026-01-26T17:55:59.236857044Z
19.31,1011,67.73,38,841,111.74,2026-01-26T17:56:08.703836543Z
19.3,1011,67.76,37,848,112.14,2026-01-26T17:56:13.262214744Z
19.29,1011,67.82,37,855,111.35,2026-01-26T17:56:20.667375809Z
19.29,1011,67.89,37,862,112.54,2026-01-26T17:56:26.742347038Z
19.28,1011,67.93,37,868,111.35,2026-01-26T17:56:31.292001439Z
19.28,1011,67.9,37,874,112.14,2026-01-26T17:56:39.1822028Z
19.28,1011,67.84,38,878,112.14,2026-01-26T17:56:43.663783543Z
19.28,1011,67.88,37,885,112.14,2026-01-26T17:56:50.169785143Z
19.28,1011,67.89,37,891,111.74,2026-01-26T17:56:59.677083852Z
19.27,1011,68.01,36,901,112.14,2026-01-26T17:57:06.174413327Z
19.26,1011,68.01,36,907,111.74,2026-01-26T17:57:12.178763881Z
19.26,1011,68.0,36,914,110.17,2026-01-26T17:57:18.687180991Z
19.25,1011,68.01,36,920,110.17,2026-01-26T17:57:25.240099493Z
19.25,1011,68.02,36,927,108.62,2026-01-26T17:57:32.177186244Z
19.25,1011,68.02,36,933,109.01,2026-01-26T17:57:38.258148212Z
19.25,1011,68.02,36,940,107.47,2026-01-26T17:57:47.664809147Z
19.24,1011,68.11,35,949,110.17,2026-01-26T17:57:53.758977689Z
19.23,1011,68.08,36,955,105.57,2026-01-26T17:57:58.247990825Z
19.23,1011,68.05,36,960,107.47,2026-01-26T17:58:05.674871135Z
19.24,1011,67.96,37,965,105.95,2026-01-26T17:58:10.174110491Z
19.24,1011,68.01,37,971,108.62,2026-01-26T17:58:16.739091739Z
19.25,1011,67.96,38,976,108.62,2026-01-26T17:58:21.183190279Z
19.26,1011,67.91,38,980,110.57,2026-01-26T17:58:25.668189793Z
19.26,1011,67.94,38,987,112.14,2026-01-26T17:58:32.233903978Z
19.25,1011,67.98,38,994,111.74,2026-01-26T17:58:38.747666855Z
19.25,1011,68.03,38,1000,112.14,2026-01-26T17:58:45.237526973Z
19.23,1011,68.17,36,1016,111.74,2026-01-26T17:59:00.67329131Z
19.23,1011,68.19,36,1022,110.96,2026-01-26T17:59:07.172773067Z
19.22,1011,68.19,37,1035,107.85,2026-01-26T17:59:25.106437273Z
19.21,1011,68.3,36,1044,110.57,2026-01-26T17:59:32.163729535Z
19.2,1011,68.37,35,1053,111.35,2026-01-26T17:59:38.169039557Z
19.2,1011,68.34,35,1060,112.54,2026-01-26T17:59:44.767532131Z
19.2,1011,68.31,35,1066,110.96,2026-01-26T17:59:49.266373168Z
19.2,1011,68.23,36,1071,110.96,2026-01-26T17:59:59.16697816Z
19.19,1011,68.32,35,1080,112.14,2026-01-26T18:00:05.665735041Z
19.19,1011,68.33,36,1087,111.35,2026-01-26T18:00:15.167874506Z
19.18,1011,68.44,34,1105,112.54,2026-01-26T18:00:27.716870419Z
19.18,1011,68.36,35,1110,110.57,2026-01-26T18:00:35.171260173Z
19.19,1011,68.27,36,1114,111.74,2026-01-26T18:00:36.879299885Z
19.2,1011,68.18,37,1118,109.01,2026-01-26T18:00:43.764967278Z
19.2,1011,68.41,36,1135,110.96,2026-01-26T18:00:59.738767627Z
19.19,1011,68.43,36,1141,110.57,2026-01-26T18:01:09.173517351Z
19.18,1011,68.5,35,1150,109.78,2026-01-26T18:01:18.166179841Z
19.17,1011,68.53,35,1159,111.74,2026-01-26T18:01:27.172384052Z
19.16,1011,68.57,34,1168,108.62,2026-01-26T18:01:33.678235043Z
19.16,1011,68.48,35,1173,112.14,2026-01-26T18:01:38.171414361Z
19.16,1011,68.45,35,1179,110.57,2026-01-26T18:01:41.814564845Z
19.18,1011,68.38,36,1183,110.17,2026-01-26T18:01:48.673277461Z
19.18,1011,68.37,36,1190,112.94,2026-01-26T18:01:57.164048015Z
19.17,1011,68.49,35,1199,110.17,2026-01-26T18:02:02.936282389Z
19.17,1011,68.53,35,1206,109.01,2026-01-26T18:02:14.671799867Z
19.16,1011,68.61,34,1223,108.24,2026-01-26T18:02:31.186267818Z
19.15,1011,68.72,34,1232,111.35,2026-01-26T18:02:37.517018321Z
19.14,1011,68.66,34,1239,111.74,2026-01-26T18:02:43.737662829Z
19.15,1011,68.61,34,1245,111.35,2026-01-26T18:02:50.729104983Z
19.15,1011,68.53,35,1250,111.35,2026-01-26T18:02:55.273356396Z
19.16,1011,68.49,36,1255,111.74,2026-01-26T18:03:02.6080899Z
19.16,1011,68.5,36,1262,111.35,2026-01-26T18:03:10.162850452Z
19.15,1011,68.62,35,1271,108.24,2026-01-26T18:03:15.288265804Z
19.16,1011,68.56,36,1276,108.24,2026-01-26T18:03:23.662486266Z
19.16,1011,68.64,35,1285,107.85,2026-01-26T18:03:30.667787033Z
19.15,1011,68.66,35,1292,108.24,2026-01-26T18:03:37.248380988Z
19.15,1011,68.67,35,1299,109.01,2026-01-26T18:03:41.286668733Z
19.16,1011,68.61,36,1303,110.17,2026-01-26T18:03:48.243188083Z
19.16,1011,68.6,36,1310,110.57,2026-01-26T18:03:57.670275388Z
19.15,1011,68.71,35,1319,111.35,2026-01-26T18:04:02.849873387Z
19.15,1011,68.7,35,1325,112.14,2026-01-26T18:04:13.180486031Z
19.14,1011,68.76,35,1334,107.47,2026-01-26T18:04:22.165356058Z
19.14,1011,68.77,35,1342,110.96,2026-01-26T18:04:29.673479843Z
19.13,1011,68.76,35,1349,107.85,2026-01-26T18:04:37.163806727Z
19.12,1011,68.87,34,1358,110.17,2026-01-26T18:04:43.779437151Z
19.12,1011,68.81,34,1365,111.35,2026-01-26T18:04:47.262990635Z
19.15,1011,68.72,37,1367,109.78,2026-01-26T18:04:54.668106503Z
19.14,1011,68.69,36,1376,110.17,2026-01-26T18:04:58.324886855Z
19.14,1011,68.65,36,1387,110.57,2026-01-26T18:05:09.801396438Z
19.15,1011,68.62,37,1392,107.85,2026-01-26T18:05:18.171514718Z
19.14,1011,68.7,36,1399,108.62,2026-01-26T18:05:29.56390284Z
19.13,1011,68.83,35,1409,110.57,2026-01-26T18:05:33.264034098Z
19.12,1011,68.88,35,1417,109.01,2026-01-26T18:05:45.164078345Z
19.11,1011,68.95,34,1426,107.47,2026-01-26T18:05:54.164617226Z
19.1,1011,69.0,34,1435,109.78,2026-01-26T18:06:02.84123161Z
19.09,1011,69.03,33,1444,108.62,2026-01-26T18:06:12.161685326Z
19.08,1011,69.05,33,1453,111.35,2026-01-26T18:06:20.185403Z
19.08,1011,68.99,34,1459,110.96,2026-01-26T18:06:24.675416664Z
19.09,1011,68.91,35,1464,107.85,2026-01-26T18:06:32.173880675Z
19.09,1011,68.95,34,1471,108.62,2026-01-26T18:06:39.699572386Z
19.08,1011,69.05,34,1481,107.85,2026-01-26T18:06:48.677010881Z
19.08,1011,69.07,34,1488,108.62,2026-01-26T18:06:53.168286167Z
19.09,1011,68.97,35,1492,116.98,2026-01-26T18:06:57.701019361Z
19.09,1011,68.94,35,1499,125.44,2026-01-26T18:07:02.856380041Z
19.1,1011,68.85,36,1502,127.63,2026-01-26T18:07:05.775138732Z
19.11,1011,68.83,36,1509,133.48,2026-01-26T18:07:16.673018162Z
19.1,1011,68.98,35,1518,139.09,2026-01-26T18:07:23.190499764Z
19.1,1011,69.0,36,1524,138.14,2026-01-26T18:07:31.193503765Z
19.1,1011,68.98,36,1530,140.04,2026-01-26T18:07:38.670557438Z
19.09,1011,69.12,35,1540,139.56,2026-01-26T18:07:45.164231126Z
19.08,1011,69.11,35,1546,141.97,2026-01-26T18:07:54.166455631Z
19.07,1011,69.21,34,1555,141.48,2026-01-26T18:08:00.241026492Z
19.07,1011,69.13,35,1560,142.45,2026-01-26T18:08:01.960682604Z
19.11,1011,69.02,38,1561,141.0,2026-01-26T18:08:06.171027116Z
19.11,1011,68.96,37,1568,142.45,2026-01-26T18:08:12.799419295Z
19.1,1011,69.05,37,1574,141.0,2026-01-26T18:08:17.253808516Z
19.1,1011,69.06,37,1580,142.45,2026-01-26T18:08:29.161960714Z
19.09,1011,69.14,36,1589,142.94,2026-01-26T18:08:36.666771145Z
19.08,1011,69.22,35,1598,143.91,2026-01-26T18:08:42.66773338Z
19.07,1011,69.21,35,1604,141.48,2026-01-26T18:08:52.190500825Z
19.06,1011,69.23,35,1611,141.48,2026-01-26T18:08:59.666242121Z
19.05,1011,69.29,35,1621,145.88,2026-01-26T18:09:06.669864269Z
19.04,1011,69.29,35,1628,142.94,2026-01-26T18:09:13.163367396Z
19.04,1011,69.27,35,1634,142.94,2026-01-26T18:09:16.88046815Z
19.05,1011,69.18,36,1638,141.48,2026-01-26T18:09:23.664559355Z
19.04,1011,69.32,34,1663,140.52,2026-01-26T18:09:45.962182367Z
19.04,1011,69.24,35,1668,141.0,2026-01-26T18:09:55.701375902Z
19.04,1011,69.28,35,1677,142.45,2026-01-26T18:10:01.741542923Z
19.04,1011,69.22,35,1682,140.04,2026-01-26T18:10:07.254147752Z
19.03,1011,69.27,35,1691,141.48,2026-01-26T18:10:16.175399734Z
19.03,1011,69.27,35,1698,140.52,2026-01-26T18:10:25.671556793Z
19.03,1011,69.28,35,1705,142.45,2026-01-26T18:10:30.242258311Z
19.03,1011,69.27,35,1712,141.0,2026-01-26T18:10:34.506339071Z
19.04,1011,69.18,36,1716,142.94,2026-01-26T18:10:39.412229334Z
19.05,1011,69.2,36,1722,141.97,2026-01-26T18:10:49.558492793Z
19.04,1011,69.24,35,1730,140.52,2026-01-26T18:10:57.167662492Z
19.04,1011,69.33,35,1739,141.97,2026-01-26T18:11:02.843285876Z
19.04,1011,69.31,35,1745,141.48,2026-01-26T18:11:08.704243725Z
19.05,1011,69.21,37,1748,140.52,2026-01-26T18:11:13.820556207Z
19.06,1011,69.15,37,1754,142.45,2026-01-26T18:11:20.181163566Z
19.06,1011,69.19,37,1760,141.0,2026-01-26T18:11:24.267365892Z
19.05,1011,69.28,36,1768,142.94,2026-01-26T18:11:35.669438181Z
19.05,1011,69.36,36,1775,143.91,2026-01-26T18:11:37.794618726Z
19.05,1011,69.37,36,1788,141.48,2026-01-26T18:11:55.40398324Z
19.04,1011,69.38,36,1796,141.97,2026-01-26T18:11:59.701790089Z
19.05,1011,69.29,37,1799,141.97,2026-01-26T18:12:02.848574216Z
19.06,1011,69.17,38,1802,143.91,2026-01-26T18:12:07.668695986Z
19.06,1011,69.19,38,1809,142.94,2026-01-26T18:12:12.809251179Z
19.07,1011,69.13,39,1812,141.48,2026-01-26T18:12:19.771562615Z
19.07,1011,69.17,38,1819,141.97,2026-01-26T18:12:23.562073694Z
19.06,1011,69.25,38,1826,141.0,2026-01-26T18:12:31.673494321Z
19.05,1011,69.26,38,1833,142.94,2026-01-26T18:12:35.919196092Z
19.07,1011,69.17,39,1835,140.04,2026-01-26T18:12:43.166859903Z
19.06,1011,69.24,38,1844,139.56,2026-01-26T18:12:50.665802346Z
19.05,1011,69.32,37,1852,142.94,2026-01-26T18:12:57.205487447Z
19.05,1011,69.27,38,1856,141.0,2026-01-26T18:13:02.839361333Z
19.04,1011,69.35,37,1865,139.56,2026-01-26T18:13:12.190951465Z
19.03,1011,69.36,37,1873,140.52,2026-01-26T18:13:18.169902309Z
19.02,1011,69.35,36,1880,138.14,2026-01-26T18:13:24.671517311Z
19.02,1011,69.31,36,1886,138.61,2026-01-26T18:13:28.887563415Z
19.03,1011,69.21,38,1890,139.09,2026-01-26T18:13:32.675052109Z
19.06,1011,69.1,40,1892,139.56,2026-01-26T18:13:40.165008Z
19.05,1011,69.2,38,1901,139.56,2026-01-26T18:13:46.168803625Z
19.05,1011,69.14,39,1905,135.8,2026-01-26T18:13:53.664823082Z
19.04,1011,69.26,37,1915,135.33,2026-01-26T18:13:59.731628839Z
19.03,1011,69.28,37,1921,135.8,2026-01-26T18:14:09.172103122Z
19.02,1011,69.37,36,1930,138.61,2026-01-26T18:14:18.172536534Z
19.01,1011,69.45,36,1939,137.67,2026-01-26T18:14:27.163803906Z
19.0,1011,69.5,35,1948,134.87,2026-01-26T18:14:36.18379331Z
19.0,1011,69.48,35,1955,133.94,2026-01-26T18:14:38.26576288Z
19.0,1011,69.42,36,1960,135.8,2026-01-26T18:14:46.668980449Z
19.0,1011,69.42,36,1968,135.8,2026-01-26T18:14:52.681768999Z
19.01,1011,69.34,37,1972,134.4,2026-01-26T18:14:57.271970747Z
19.01,1011,69.34,37,1979,136.26,2026-01-26T18:15:02.940909467Z
19.01,1011,69.4,36,1986,132.57,2026-01-26T18:15:13.670778307Z
19.01,1011,69.38,36,1993,136.26,2026-01-26T18:15:21.163151108Z
19.0,1011,69.48,35,2002,134.4,2026-01-26T18:15:30.177509446Z
18.99,1011,69.5,35,2011,135.33,2026-01-26T18:15:36.175753782Z
18.99,1011,69.49,35,2018,135.8,2026-01-26T18:15:42.663380433Z
18.99,1011,69.43,35,2024,134.4,2026-01-26T18:15:49.167508478Z
18.99,1011,69.43,35,2031,130.75,2026-01-26T18:15:55.732122631Z
18.99,1011,69.42,36,2037,132.57,2026-01-26T18:16:02.85213021Z
18.99,1011,69.52,35,2046,128.07,2026-01-26T18:16:11.165265459Z
18.99,1011,69.49,35,2053,123.71,2026-01-26T18:16:15.600908045Z
19.0,1011,69.4,37,2055,124.57,2026-01-26T18:16:20.677191944Z
19.01,1011,69.29,38,2060,126.75,2026-01-26T18:16:25.235021803Z
19.02,1011,69.25,38,2065,128.96,2026-01-26T18:16:30.163245277Z
19.03,1011,69.28,38,2071,132.11,2026-01-26T18:16:36.751463757Z
19.02,1011,69.34,37,2078,128.07,2026-01-26T18:16:43.668122998Z
19.0,1011,69.53,36,2101,135.8,2026-01-26T18:17:07.216783351Z
19.0,1011,69.5,36,2107,134.87,2026-01-26T18:17:15.165894364Z
18.99,1011,69.58,36,2116,133.94,2026-01-26T18:17:24.172613483Z
18.98,1011,69.61,35,2125,133.03,2026-01-26T18:17:32.664447312Z
18.98,1011,69.62,35,2134,134.87,2026-01-26T18:17:39.179039644Z
18.98,1011,69.54,35,2138,135.8,2026-01-26T18:17:41.310799716Z
19.01,1011,69.42,38,2141,134.4,2026-01-26T18:17:43.573326843Z
19.04,1011,69.27,39,2143,136.26,2026-01-26T18:17:45.409659041Z
19.07,1011,69.1,41,2145,135.8,2026-01-26T18:17:48.066920558Z
19.07,1011,69.13,40,2152,133.03,2026-01-26T18:17:54.828932471Z
19.09,1011,69.06,42,2154,134.4,2026-01-26T18:17:59.019497774Z
19.08,1011,69.14,41,2161,132.57,2026-01-26T18:18:05.988411912Z
19.08,1011,69.11,41,2165,133.48,2026-01-26T18:18:09.578321708Z
19.09,1011,69.04,42,2169,133.48,2026-01-26T18:18:14.170139541Z
19.07,1011,69.31,39,2184,134.4,2026-01-26T18:18:32.175409258Z
19.05,1011,69.44,38,2193,128.96,2026-01-26T18:18:41.172994036Z
19.03,1011,69.53,37,2202,128.52,2026-01-26T18:18:47.233836021Z
19.01,1011,69.46,37,2209,132.57,2026-01-26T18:18:54.238915473Z
19.0,1011,69.42,37,2216,128.07,2026-01-26T18:19:02.845326881Z
18.99,1011,69.47,36,2225,127.19,2026-01-26T18:19:12.672781939Z
18.98,1011,69.52,36,2234,128.52,2026-01-26T18:19:21.674622892Z
18.97,1011,69.54,35,2243,126.31,2026-01-26T18:19:30.673717168Z
18.96,1011,69.51,35,2250,125.87,2026-01-26T18:19:38.16138169Z
18.96,1011,69.56,35,2259,124.57,2026-01-26T18:19:44.670636845Z
18.96,1011,69.47,36,2264,125.44,2026-01-26T18:19:52.163310934Z
18.95,1011,69.52,35,2273,125.44,2026-01-26T18:19:58.251015205Z
18.95,1011,69.54,34,2282,124.57,2026-01-26T18:20:07.236011174Z
18.95,1011,69.49,35,2289,126.75,2026-01-26T18:20:17.169204335Z
18.94,1011,69.52,34,2298,127.19,2026-01-26T18:20:26.167269324Z
18.94,1011,69.54,34,2307,125.44,2026-01-26T18:20:32.262054677Z
18.94,1011,69.49,34,2314,125.44,2026-01-26T18:20:39.248014562Z
18.94,1011,69.45,34,2321,122.42,2026-01-26T18:20:45.747479888Z
18.94,1011,69.42,35,2327,122.42,2026-01-26T18:20:49.77782092Z
18.95,1011,69.36,36,2332,122.42,2026-01-26T18:21:00.163029686Z
18.94,1011,69.47,35,2341,121.99,2026-01-26T18:21:09.162950544Z
18.93,1011,69.54,35,2350,125.44,2026-01-26T18:21:18.164896232Z
18.93,1011,69.6,34,2359,123.71,2026-01-26T18:21:27.167200413Z
18.92,1011,69.61,34,2375,123.71,2026-01-26T18:21:42.667559754Z
18.91,1011,69.69,34,2384,121.15,2026-01-26T18:21:48.680783289Z
18.91,1011,69.7,34,2397,124.14,2026-01-26T18:22:02.171351316Z
18.91,1011,69.59,35,2401,123.71,2026-01-26T18:22:09.6638756Z
18.91,1011,69.67,35,2411,121.15,2026-01-26T18:22:18.675867696Z
18.9,1011,69.72,34,2420,125.87,2026-01-26T18:22:24.81815041Z
18.89,1011,69.71,34,2426,122.42,2026-01-26T18:22:29.663553754Z
18.9,1011,69.6,36,2437,124.57,2026-01-26T18:22:45.16604137Z
18.89,1011,69.74,35,2453,121.99,2026-01-26T18:22:57.67339562Z
18.89,1011,69.7,36,2458,122.42,2026-01-26T18:23:00.802808387Z
18.91,1011,69.61,38,2460,124.57,2026-01-26T18:23:03.04664857Z
18.94,1011,69.48,40,2462,121.99,2026-01-26T18:23:05.309222673Z
18.97,1011,69.33,41,2465,125.0,2026-01-26T18:23:09.740208726Z
18.97,1011,69.3,41,2470,121.15,2026-01-26T18:23:13.501957851Z
18.97,1011,69.26,42,2474,121.57,2026-01-26T18:23:20.356191835Z
18.96,1011,69.38,41,2480,124.14,2026-01-26T18:23:23.533679901Z
18.97,1011,69.32,42,2483,124.57,2026-01-26T18:23:31.107236286Z
18.95,1011,69.48,41,2491,121.15,2026-01-26T18:23:35.51207222Z
18.95,1011,69.45,41,2495,125.44,2026-01-26T18:23:38.897894464Z
18.95,1011,69.39,42,2499,121.99,2026-01-26T18:23:41.344735533Z
18.96,1011,69.29,44,2501,124.57,2026-01-26T18:23:44.024503906Z
18.98,1011,69.19,45,2503,121.99,2026-01-26T18:23:47.300863856Z
18.99,1011,69.13,46,2507,121.15,2026-01-26T18:23:50.35903297Z
19.0,1011,69.08,46,2510,121.15,2026-01-26T18:23:53.599193173Z
19.0,1011,69.06,46,2514,122.42,2026-01-26T18:23:58.653231655Z
18.98,1011,69.23,45,2521,120.3,2026-01-26T18:24:04.087655976Z
18.98,1011,69.23,46,2523,121.57,2026-01-26T18:24:05.788778866Z
19.01,1011,69.16,48,2525,124.57,2026-01-26T18:24:08.905506418Z
19.0,1011,69.14,47,2530,123.71,2026-01-26T18:24:15.229368867Z
18.99,1011,69.23,46,2535,120.72,2026-01-26T18:24:20.761201596Z
18.96,1011,69.38,45,2542,120.72,2026-01-26T18:24:27.667154544Z
18.94,1011,69.49,44,2549,121.99,2026-01-26T18:24:33.069696739Z
18.93,1011,69.47,44,2552,123.71,2026-01-26T18:24:35.686915007Z
18.93,1011,69.44,45,2556,123.71,2026-01-26T18:24:39.41138671Z
18.93,1011,69.42,45,2560,121.15,2026-01-26T18:24:43.303534481Z
18.94,1011,69.37,47,2563,121.57,2026-01-26T18:24:48.666108301Z
18.93,1011,69.42,46,2568,121.99,2026-01-26T18:24:51.606423568Z
18.93,1011,69.44,46,2572,123.28,2026-01-26T18:24:56.507560378Z
18.93,1011,69.42,47,2576,120.72,2026-01-26T18:24:58.457311808Z
18.94,1011,69.39,48,2578,121.15,2026-01-26T18:25:00.918906114Z
18.96,1011,69.29,49,2581,120.72,2026-01-26T18:25:06.1854462Z
18.95,1011,69.33,48,2585,121.15,2026-01-26T18:25:07.871636696Z
18.97,1011,69.3,51,2587,121.15,2026-01-26T18:25:12.380353161Z
18.97,1011,69.34,49,2592,123.71,2026-01-26T18:25:17.225947648Z
18.95,1011,69.44,48,2597,120.72,2026-01-26T18:25:24.054288461Z
18.92,1011,69.61,47,2604,121.99,2026-01-26T18:25:28.973666612Z
18.9,1011,69.67,46,2609,121.99,2026-01-26T18:25:34.666858973Z
18.88,1011,69.8,45,2616,123.71,2026-01-26T18:25:41.780089665Z
18.86,1011,69.82,44,2621,120.72,2026-01-26T18:25:47.094543471Z
18.84,1011,69.83,44,2627,120.3,2026-01-26T18:25:49.762545512Z
18.84,1011,69.77,46,2629,120.3,2026-01-26T18:25:53.44245548Z
18.83,1011,69.84,44,2637,118.22,2026-01-26T18:26:01.735829148Z
18.81,1011,69.88,44,2642,119.46,2026-01-26T18:26:07.233652122Z
18.78,1011,70.09,42,2657,120.72,2026-01-26T18:26:20.679922682Z
18.77,1011,70.05,43,2661,117.8,2026-01-26T18:26:23.866046871Z
18.78,1011,69.97,45,2663,118.63,2026-01-26T18:26:27.235879558Z
18.78,1011,69.98,44,2670,118.22,2026-01-26T18:26:32.457426924Z
18.77,1011,69.96,44,2674,119.88,2026-01-26T18:26:39.252440692Z
18.77,1011,69.93,44,2679,117.8,2026-01-26T18:26:40.935009906Z
18.78,1011,69.85,46,2682,116.98,2026-01-26T18:26:48.668543428Z
18.78,1011,69.94,44,2688,117.39,2026-01-26T18:26:53.737865001Z
18.76,1011,70.03,44,2695,119.05,2026-01-26T18:27:00.664397584Z
18.75,1011,70.14,43,2702,118.63,2026-01-26T18:27:04.619162199Z
18.76,1011,70.05,44,2705,116.98,2026-01-26T18:27:07.351720203Z
18.76,1011,69.97,45,2709,118.22,2026-01-26T18:27:16.079181095Z
18.75,1011,70.05,44,2716,117.39,2026-01-26T18:27:21.302650591Z
18.75,1011,70.09,43,2721,116.98,2026-01-26T18:27:24.072495688Z
18.76,1011,70.02,45,2724,117.8,2026-01-26T18:27:28.164142574Z
18.75,1011,70.05,44,2731,116.98,2026-01-26T18:27:34.005677796Z
18.77,1011,69.98,46,2733,116.98,2026-01-26T18:27:36.264545816Z
18.79,1011,69.85,47,2736,116.98,2026-01-26T18:27:38.510809919Z
18.82,1011,69.75,49,2738,117.8,2026-01-26T18:27:41.270200739Z
18.83,1011,69.63,49,2742,118.22,2026-01-26T18:27:45.065684335Z
18.84,1011,69.61,50,2745,116.98,2026-01-26T18:27:47.926983051Z
18.85,1011,69.57,50,2748,116.57,2026-01-26T18:27:51.316494214Z
18.85,1011,69.55,50,2751,118.63,2026-01-26T18:27:54.17194664Z
18.81,1011,70.03,45,2767,116.98,2026-01-26T18:28:12.000844657Z
18.79,1011,70.04,45,2772,117.8,2026-01-26T18:28:17.519829861Z
18.77,1011,70.07,45,2778,117.39,2026-01-26T18:28:21.922692781Z
18.77,1011,69.99,46,2781,118.22,2026-01-26T18:28:23.878786153Z
18.79,1011,69.92,48,2783,114.94,2026-01-26T18:28:28.070609404Z
18.79,1011,69.82,48,2788,119.05,2026-01-26T18:28:31.6541944Z
18.79,1011,69.8,48,2791,115.35,2026-01-26T18:28:34.121682316Z
